"id","stage_name","owner","company_id","company","added_on","created_at","currency","decimal_value","last_stage_change_at","added_on_epoch","created_at_epoch","last_stage_change_at_epoch"
"30203480","Won","Samantha Ciaravino - Deleted","155243437","Studio Chavez","2017-01-07","2017-01-07T00:06:07Z","CAD",565,"2017-01-07T00:08:31Z",1483776000000,1483776367000,1483776511000
"35678140","Won","Aly Lalani","155523192","Lakeshore Vein & Aesthetic Clinic","2017-04-19","2017-04-19T16:39:10Z","CAD",480,"2017-04-19T16:37:10Z",1492585200000,1492645150000,1492645030000
"30443211","Won","Nabil Khan","155623877","Red River Trade Company","2017-01-10","2017-01-10T17:42:35Z","CAD",480,"2017-01-10T17:43:13Z",1484035200000,1484098955000,1484098993000
"30448496","Won","Aly Lalani","155641569","Cry Baby Cosmetic Tattooing","2017-01-10","2017-01-10T21:18:02Z","CAD",155,"2017-01-10T21:20:02Z",1484035200000,1484111882000,1484112002000
"30515228","Won","Samantha Ciaravino - Deleted","155748133","Fusion Esthétique Rive-Sud","2016-11-28","2017-01-11T15:28:16Z","CAD",250,"2017-01-31T15:29:12Z",1480320000000,1484177296000,1485905352000
"30523498","Won","Samantha Ciaravino - Deleted","155767011","Nu Spa","2017-01-11","2017-01-11T19:50:21Z","CAD",230,"2017-01-11T19:58:16Z",1484121600000,1484193021000,1484193496000
"30569508","Won","Samantha Ciaravino - Deleted","155880901","Esthetique Simonne","2017-01-12","2017-01-12T19:55:08Z","CAD",250,"2017-01-12T19:56:31Z",1484208000000,1484279708000,1484279791000
"30784499","Won","Aly Lalani","156432782","Nova II Beauty Ltd.","2017-01-17","2017-01-17T20:17:46Z","CAD",966,"2017-01-17T20:19:52Z",1484640000000,1484713066000,1484713192000
"30938574","Won","Samantha Ciaravino - Deleted","156728910","Teras Distribution","2017-01-20","2017-01-20T21:33:43Z","CAD",748,"2017-01-20T09:12:46Z",1484899200000,1484976823000,1484932366000
"35602511","Won","Aly Lalani","157108964","Follicare","2017-04-17","2017-04-17T20:58:03Z","CAD",480,"2017-04-17T20:57:05Z",1492412400000,1492487883000,1492487825000
"36223763","Won","Nabil Khan","158420737","Beauty Institute Canada","2017-05-01","2017-05-01T19:49:08Z","CAD",1590,"2017-05-01T19:49:08Z",1493622000000,1493693348000,1493693348000
"31443471","Won","Aly Lalani","158422329","Patricia Electrolysis Studio","2017-02-01","2017-02-01T18:07:09Z","CAD",309,"2017-02-01T18:08:06Z",1485936000000,1486001229000,1486001286000
