"id","stage_name","owner","company_id","company","added_on","created_at","currency","decimal_value","last_stage_change_at","added_on_epoch","created_at_epoch","last_stage_change_at_epoch"
"34082618","Won","Aly Lalani","135839300","Primpin Aint Easy","2017-03-16","2017-03-16T19:55:11Z","CAD",250,"2017-03-16T19:54:13Z",1489647600000,1489719311000,1489719253000
"22449756","Won","Aly Lalani","135839326","A touch above electrolysis","2016-08-09","2016-08-09T22:38:15Z","CAD",125,"2016-08-09T22:43:31Z",1470726000000,1470807495000,1470807811000
"33818896","Won","Aly Lalani","135844574","National brow clinic","2017-03-10","2017-03-10T19:45:52Z","CAD",480,"2017-03-10T19:45:52Z",1489132800000,1489203952000,1489203952000
"31214233","Won","Aly Lalani","135969516","Déjà Vu Spa","2017-01-27","2017-01-27T03:54:43Z","CAD",125,"2017-01-27T03:52:44Z",1485504000000,1485518083000,1485517964000
"32101954","Won","Aly Lalani","135969583","Shoppers Drug Mart Hornby","2017-02-15","2017-02-15T01:36:23Z","CAD",60,"2017-02-15T01:36:23Z",1487145600000,1487151383000,1487151383000
"25950880","Won","Aly Lalani","135969609","Shoppers Drug Mart Homer","2016-10-27","2016-10-27T22:22:16Z","CAD",100,"2016-10-27T22:21:16Z",1477551600000,1477632136000,1477632076000
"27260729","Won","Aly Lalani","135969612","Shoppers Drug Mart Park Royal","2016-11-28","2016-11-28T20:12:09Z","CAD",240,"2016-11-28T20:11:12Z",1480320000000,1480392729000,1480392672000
"27458630","Won","Aly Lalani","135969633","Shoppers Drug Mart Willoughby","2016-12-02","2016-12-02T22:12:42Z","CAD",480,"2016-12-02T22:11:49Z",1480665600000,1480745562000,1480745509000
"28610399","Won","Aly Lalani","135969685","Shoppers Drug Mart Hastings","2016-12-28","2016-12-28T21:55:50Z","CAD",200,"2016-12-28T21:54:56Z",1482912000000,1482990950000,1482990896000
"21387648","Won","Aly Lalani","135969736","Shoppers Drug Mart - Centre St. NW","2016-07-19","2016-07-19T23:17:31Z","CAD",120,"2017-01-16T01:50:16Z",1468911600000,1468995451000,1484560216000
"25950150","Won","Aly Lalani","135969740","Shoppers Drug Mart Broadway","2016-10-27","2016-10-27T21:59:03Z","CAD",120,"2016-10-27T21:57:03Z",1477551600000,1477630743000,1477630623000
"28181391","Won","Aly Lalani","135969744","Shoppers Drug Mart 120th","2016-12-19","2016-12-19T23:44:58Z","CAD",80,"2016-12-19T23:43:57Z",1482134400000,1482219898000,1482219837000
"21387682","Won","Aly Lalani","135969799","Shoppers Drug Mart #237","2016-07-19","2016-07-19T23:18:12Z","CAD",240,"2017-02-01T21:44:51Z",1468911600000,1468995492000,1486014291000
"27351128","Won","Aly Lalani","135969837","Shoppers Drug Mart Davie","2016-11-30","2016-11-30T20:23:13Z","CAD",100,"2016-11-30T20:09:19Z",1480492800000,1480566193000,1480565359000
"21952013","Won","Nabil Khan","136958792","Waters Edge Salon & Spa","2016-07-29","2016-07-29T21:06:12Z","CAD",250,"2016-07-29T21:06:12Z",1469775600000,1469851572000,1469851572000
"22208090","Won","Nabil Khan","137396625","Neece Electrolysis","2016-09-12","2016-08-03T21:56:30Z","CAD",480,"2016-09-12T09:56:30Z",1473663600000,1470286590000,1473699390000
